matchnumber,roundnumber,date,location,group,homeaway,team,goals,penalties,ycards,rcards,fouls
1,1,11/06/2021 20:00,Olimpico in Rome,Group A,hometeam,Turkey,0,0,2,0,10
1,1,11/06/2021 20:00,Olimpico in Rome,Group A,awayteam,Italy,3,0,0,0,8
2,1,12/06/2021 14:00,Baki Olimpiya Stadionu,Group A,hometeam,Wales,1,0,1,0,6
2,1,12/06/2021 14:00,Baki Olimpiya Stadionu,Group A,awayteam,Switzerland,1,0,2,0,9
3,1,12/06/2021 17:00,Parken,Group B,hometeam,Denmark,0,0,0,0,11
3,1,12/06/2021 17:00,Parken,Group B,awayteam,Finland,1,0,2,0,12
4,1,12/06/2021 20:00,Saint Petersburg Stadium,Group B,hometeam,Belgium,3,0,0,0,9
4,1,12/06/2021 20:00,Saint Petersburg Stadium,Group B,awayteam,Russia,0,0,0,0,11
5,1,13/06/2021 14:00,Wembley Stadium,Group D,hometeam,England,1,0,1,0,9
5,1,13/06/2021 14:00,Wembley Stadium,Group D,awayteam,Croatia,0,0,3,0,10
6,1,13/06/2021 17:00,Arena Nationala,Group C,hometeam,Austria,3,0,1,0,13
6,1,13/06/2021 17:00,Arena Nationala,Group C,awayteam,North Macedonia,1,0,2,0,16
7,1,13/06/2021 20:00,Johan Cruijff ArenA,Group C,hometeam,Netherlands,3,0,0,0,8
7,1,13/06/2021 20:00,Johan Cruijff ArenA,Group C,awayteam,Ukraine,2,0,1,0,8
8,1,14/06/2021 14:00,Hampden Park,Group D,hometeam,Scotland,0,0,0,0,6
8,1,14/06/2021 14:00,Hampden Park,Group D,awayteam,Czech Republic,2,0,0,0,6
9,1,14/06/2021 17:00,Saint Petersburg Stadium,Group E,hometeam,Poland,1,0,0,1,15
9,1,14/06/2021 17:00,Saint Petersburg Stadium,Group E,awayteam,Slovakia,2,0,1,0,13
10,1,14/06/2021 20:00,Estadio La Cartuja,Group E,hometeam,Spain,0,0,0,0,7
10,1,14/06/2021 20:00,Estadio La Cartuja,Group E,awayteam,Sweden,0,0,1,0,11
11,1,15/06/2021 17:00,Puskás Aréna,Group F,hometeam,Hungary,0,0,2,0,10
11,1,15/06/2021 17:00,Puskás Aréna,Group F,awayteam,Portugal,3,0,1,0,15
12,1,15/06/2021 20:00,Fußball Arena München,Group F,hometeam,France,1,0,0,0,7
12,1,15/06/2021 20:00,Fußball Arena München,Group F,awayteam,Germany,0,0,1,0,10
13,2,16/06/2021 14:00,Saint Petersburg Stadium,Group B,hometeam,Finland,0,0,2,0,12
13,2,16/06/2021 14:00,Saint Petersburg Stadium,Group B,awayteam,Russia,1,0,3,0,12
14,2,16/06/2021 17:00,Baki Olimpiya Stadionu,Group A,hometeam,Turkey,0,0,2,0,18
14,2,16/06/2021 17:00,Baki Olimpiya Stadionu,Group A,awayteam,Wales,2,0,2,0,8
15,2,16/06/2021 20:00,Olimpico in Rome,Group A,hometeam,Italy,3,0,0,0,10
15,2,16/06/2021 20:00,Olimpico in Rome,Group A,awayteam,Switzerland,0,0,2,0,12
16,2,17/06/2021 14:00,Arena Nationala,Group C,hometeam,Ukraine,2,0,1,0,9
16,2,17/06/2021 14:00,Arena Nationala,Group C,awayteam,North Macedonia,1,0,2,0,9
17,2,17/06/2021 17:00,Parken,Group B,hometeam,Denmark,1,0,3,0,8
17,2,17/06/2021 17:00,Parken,Group B,awayteam,Belgium,2,0,1,0,14
18,2,17/06/2021 20:00,Johan Cruijff ArenA,Group C,hometeam,Netherlands,2,0,1,0,13
18,2,17/06/2021 20:00,Johan Cruijff ArenA,Group C,awayteam,Austria,0,0,2,0,9
19,2,18/06/2021 14:00,Saint Petersburg Stadium,Group E,hometeam,Sweden,1,0,1,0,16
19,2,18/06/2021 14:00,Saint Petersburg Stadium,Group E,awayteam,Slovakia,0,0,3,0,7
20,2,18/06/2021 17:00,Hampden Park,Group D,hometeam,Croatia,1,0,1,0,7
20,2,18/06/2021 17:00,Hampden Park,Group D,awayteam,Czech Republic,1,0,3,0,12
21,2,18/06/2021 20:00,Wembley Stadium,Group D,hometeam,England,0,0,0,0,13
21,2,18/06/2021 20:00,Wembley Stadium,Group D,awayteam,Scotland,0,0,2,0,14
22,2,19/06/2021 14:00,Puskás Aréna,Group F,hometeam,Hungary,,,,,
22,2,19/06/2021 14:00,Puskás Aréna,Group F,awayteam,France,,,,,
23,2,19/06/2021 17:00,Fußball Arena München,Group F,hometeam,Portugal,,,,,
23,2,19/06/2021 17:00,Fußball Arena München,Group F,awayteam,Germany,,,,,
24,2,19/06/2021 20:00,Estadio La Cartuja,Group E,hometeam,Spain,,,,,
24,2,19/06/2021 20:00,Estadio La Cartuja,Group E,awayteam,Poland,,,,,
25,3,20/06/2021 17:00,Olimpico in Rome,Group A,hometeam,Italy,,,,,
25,3,20/06/2021 17:00,Olimpico in Rome,Group A,awayteam,Wales,,,,,
26,3,20/06/2021 17:00,Baki Olimpiya Stadionu,Group A,hometeam,Switzerland,,,,,
26,3,20/06/2021 17:00,Baki Olimpiya Stadionu,Group A,awayteam,Turkey,,,,,
27,3,21/06/2021 17:00,Arena Nationala,Group C,hometeam,Ukraine,,,,,
27,3,21/06/2021 17:00,Arena Nationala,Group C,awayteam,Austria,,,,,
28,3,21/06/2021 17:00,Johan Cruijff ArenA,Group C,hometeam,North Macedonia,,,,,
28,3,21/06/2021 17:00,Johan Cruijff ArenA,Group C,awayteam,Netherlands,,,,,
29,3,21/06/2021 20:00,Saint Petersburg Stadium,Group B,hometeam,Finland,,,,,
29,3,21/06/2021 20:00,Saint Petersburg Stadium,Group B,awayteam,Belgium,,,,,
30,3,21/06/2021 20:00,Parken,Group B,hometeam,Russia,,,,,
30,3,21/06/2021 20:00,Parken,Group B,awayteam,Denmark,,,,,
31,3,22/06/2021 20:00,Wembley Stadium,Group D,hometeam,Czech Republic,,,,,
31,3,22/06/2021 20:00,Wembley Stadium,Group D,awayteam,England,,,,,
32,3,22/06/2021 20:00,Hampden Park,Group D,hometeam,Croatia,,,,,
32,3,22/06/2021 20:00,Hampden Park,Group D,awayteam,Scotland,,,,,
33,3,23/06/2021 17:00,Saint Petersburg Stadium,Group E,hometeam,Sweden,,,,,
33,3,23/06/2021 17:00,Saint Petersburg Stadium,Group E,awayteam,Poland,,,,,
34,3,23/06/2021 17:00,Estadio La Cartuja,Group E,hometeam,Slovakia,,,,,
34,3,23/06/2021 17:00,Estadio La Cartuja,Group E,awayteam,Spain,,,,,
35,3,23/06/2021 20:00,Fußball Arena München,Group F,hometeam,Germany,,,,,
35,3,23/06/2021 20:00,Fußball Arena München,Group F,awayteam,Hungary,,,,,
36,3,23/06/2021 20:00,Puskás Aréna,Group F,hometeam,Portugal,,,,,
36,3,23/06/2021 20:00,Puskás Aréna,Group F,awayteam,France,,,,,
37,Round of 16,26/06/2021 17:00,Johan Cruijff ArenA,NA,hometeam,2A,,,,,
37,Round of 16,26/06/2021 17:00,Johan Cruijff ArenA,NA,awayteam,2B,,,,,
38,Round of 16,26/06/2021 20:00,Wembley Stadium,NA,hometeam,1A,,,,,
38,Round of 16,26/06/2021 20:00,Wembley Stadium,NA,awayteam,2C,,,,,
39,Round of 16,27/06/2021 17:00,Puskás Aréna,NA,hometeam,1C,,,,,
39,Round of 16,27/06/2021 17:00,Puskás Aréna,NA,awayteam,3D/E/F,,,,,
40,Round of 16,27/06/2021 20:00,Estadio La Cartuja,NA,hometeam,1B,,,,,
40,Round of 16,27/06/2021 20:00,Estadio La Cartuja,NA,awayteam,3A/D/E/F,,,,,
41,Round of 16,28/06/2021 17:00,Parken,NA,hometeam,2D,,,,,
41,Round of 16,28/06/2021 17:00,Parken,NA,awayteam,2E,,,,,
42,Round of 16,28/06/2021 20:00,Arena Nationala,NA,hometeam,1F,,,,,
